,0,1,2,3,4,5,6,7,8
0,北京大学,统考,数学科学学院,,(专业学位)金融,全日制,不区分研究方向,不区分导师,一级学科：17(不含推免)
1,北京大学,统考,数学科学学院,,(专业学位)应用统计,全日制,生物统计,不区分导师,一级学科：12(不含推免)
2,北京大学,统考,数学科学学院,,(专业学位)应用统计,非全日制,生物统计,不区分导师,一级学科：10(不含推免)
3,北京大学,统考,数学科学学院,,(专业学位)应用统计,全日制,金融统计,不区分导师,一级学科：12(不含推免)
4,北京大学,统考,数学科学学院,,(专业学位)应用统计,非全日制,金融统计,不区分导师,一级学科：10(不含推免)
5,北京大学,统考,数学科学学院,,(专业学位)应用统计,全日制,大数据分析,不区分导师,一级学科：12(不含推免)
6,北京大学,统考,数学科学学院,,(专业学位)应用统计,非全日制,大数据分析,不区分导师,一级学科：10(不含推免)
7,北京大学,统考,数学科学学院,,(专业学位)应用统计,全日制,工业统计,不区分导师,一级学科：12(不含推免)
8,北京大学,统考,数学科学学院,,(专业学位)应用统计,非全日制,工业统计,不区分导师,一级学科：10(不含推免)
9,北京大学,统考,数学科学学院,,基础数学,全日制,代数,不区分导师,一级学科：5(不含推免)
10,北京大学,统考,数学科学学院,,基础数学,全日制,微分几何,不区分导师,一级学科：5(不含推免)
11,北京大学,统考,数学科学学院,,基础数学,全日制,拓扑,不区分导师,一级学科：5(不含推免)
12,北京大学,统考,数学科学学院,,基础数学,全日制,常微分方程,不区分导师,一级学科：5(不含推免)
13,北京大学,统考,数学科学学院,,基础数学,全日制,动力系统,不区分导师,一级学科：5(不含推免)
14,北京大学,统考,数学科学学院,,基础数学,全日制,数学物理,不区分导师,一级学科：5(不含推免)
15,北京大学,统考,数学科学学院,,基础数学,全日制,偏微分方程及其应用,不区分导师,一级学科：5(不含推免)
16,北京大学,统考,数学科学学院,,基础数学,全日制,调和分析、复分析,不区分导师,一级学科：5(不含推免)
17,北京大学,统考,数学科学学院,,基础数学,全日制,几何分析,不区分导师,一级学科：5(不含推免)
18,北京大学,统考,数学科学学院,,基础数学,全日制,数论与代数几何,不区分导师,一级学科：5(不含推免)
19,北京大学,统考,数学科学学院,,计算数学,全日制,科学计算,不区分导师,一级学科：5(不含推免)
20,北京大学,统考,数学科学学院,,计算数学,全日制,模型与软件,不区分导师,一级学科：5(不含推免)
21,北京大学,统考,数学科学学院,,概率论与数理统计,全日制,概率论与随机过程,不区分导师,一级学科：5(不含推免)
22,北京大学,统考,数学科学学院,,应用数学,全日制,计算机软件和理论,不区分导师,一级学科：5(不含推免)
23,北京大学,统考,数学科学学院,,应用数学,全日制,密码学与信息安全,不区分导师,一级学科：5(不含推免)
24,北京大学,统考,数学科学学院,,应用数学,全日制,系统生物学,不区分导师,一级学科：5(不含推免)
25,北京大学,统考,数学科学学院,,应用数学,全日制,智能信息处理,不区分导师,一级学科：5(不含推免)
26,北京大学,统考,数学科学学院,,应用数学,全日制,图像重建和处理,不区分导师,一级学科：5(不含推免)
27,北京大学,统考,数学科学学院,,应用数学,全日制,生物信息学,不区分导师,一级学科：5(不含推免)
28,北京大学,统考,数学科学学院,,应用数学,全日制,符号计算与自动推理,不区分导师,一级学科：5(不含推免)
29,北京大学,统考,数学科学学院,,应用数学,全日制,信息物理融合系统,不区分导师,一级学科：5(不含推免)
30,中国人民大学,统考,哲学院,,马克思主义哲学,全日制,不区分研究方向,入学后选择指导教师,专业：9(不含推免)
31,中国人民大学,统考,哲学院,,马克思主义哲学,全日制,援藏计划,入学后选择指导教师,专业：9(不含推免)
32,中国人民大学,统考,哲学院,,中国哲学,全日制,不区分研究方向,入学后选择指导教师,专业：4(不含推免)
33,中国人民大学,统考,哲学院,,外国哲学,全日制,不区分研究方向,入学后选择指导教师,专业：5(不含推免)
34,中国人民大学,统考,哲学院,,逻辑学,全日制,符号逻辑,入学后选择指导教师,专业：3(不含推免)
35,中国人民大学,统考,哲学院,,逻辑学,全日制,逻辑哲学与逻辑史,入学后选择指导教师,专业：3(不含推免)
36,中国人民大学,统考,哲学院,,伦理学,全日制,不区分研究方向,入学后选择指导教师,专业：3(不含推免)
37,中国人民大学,统考,哲学院,,美学,全日制,不区分研究方向,入学后选择指导教师,专业：3(不含推免)
38,中国人民大学,统考,哲学院,,宗教学,全日制,不区分研究方向,入学后选择指导教师,专业：7(不含推免)
39,中国人民大学,统考,哲学院,,宗教学,全日制,援藏计划,入学后选择指导教师,专业：7(不含推免)
40,中国人民大学,统考,哲学院,,科学技术哲学,全日制,科学、技术与社会,入学后选择指导教师,专业：2(不含推免)
41,中国人民大学,统考,哲学院,,科学技术哲学,全日制,科技哲学问题,入学后选择指导教师,专业：2(不含推免)
42,中国人民大学,统考,哲学院,,管理哲学,全日制,不区分研究方向,入学后选择指导教师,专业：1(不含推免)
43,中国人民大学,统考,哲学院,,政治哲学,全日制,不区分研究方向,入学后选择指导教师,专业：1(不含推免)
44,中国人民大学,统考,国学院,,国学,全日制,中国哲学（学制3年）,入学后选择指导教师,专业：1(不含推免)
45,中国人民大学,统考,国学院,,国学,全日制,中国古代文学（学制3年）,入学后选择指导教师,专业：4(不含推免)
46,中国人民大学,统考,国学院,,国学,全日制,汉语言文字学（学制3年）,入学后选择指导教师,专业：4(不含推免)
47,中国人民大学,统考,国学院,,国学,全日制,专门史（学制3年）,入学后选择指导教师,专业：1(不含推免)
48,中国人民大学,统考,国学院,,国学,全日制,中国古代史（学制3年）,入学后选择指导教师,专业：1(不含推免)
49,中国人民大学,统考,经济学院,,政治经济学,全日制,普通硕士,入学后选择指导教师,专业：19(不含推免)
50,中国人民大学,统考,经济学院,,政治经济学,全日制,援藏计划,入学后选择指导教师,专业：19(不含推免)
51,中国人民大学,统考,经济学院,,经济思想史,全日制,普通硕士,入学后选择指导教师,专业：1(不含推免)
52,中国人民大学,统考,经济学院,,经济史,全日制,普通硕士,入学后选择指导教师,专业：1(不含推免)
